scenario,activation_name,activation_family,activation_slug,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,activation_label,sample_idx,agent_idx,model_name,regret,exact_best_index,model_best_index
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,0,0,ground_truth,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,0,0,quantum_encoded,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,0,0,residual_mlp,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,0,1,ground_truth,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,0,1,quantum_encoded,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,0,1,residual_mlp,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,1,0,ground_truth,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,1,0,quantum_encoded,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,1,0,residual_mlp,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,1,1,ground_truth,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,1,1,quantum_encoded,0.0009415365955799115,2,3
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,1,1,residual_mlp,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,2,0,ground_truth,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,2,0,quantum_encoded,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,2,0,residual_mlp,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,2,1,ground_truth,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,2,1,quantum_encoded,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,2,1,residual_mlp,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,3,0,ground_truth,0.0,6,6
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,3,0,quantum_encoded,0.0,6,6
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,3,0,residual_mlp,0.0,6,6
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,3,1,ground_truth,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,3,1,quantum_encoded,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,3,1,residual_mlp,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,4,0,ground_truth,0.0,3,3
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,4,0,quantum_encoded,0.0,3,3
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,4,0,residual_mlp,0.0,3,3
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,4,1,ground_truth,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,4,1,quantum_encoded,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,4,1,residual_mlp,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,5,0,ground_truth,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,5,0,quantum_encoded,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,5,0,residual_mlp,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,5,1,ground_truth,0.0,9,9
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,5,1,quantum_encoded,0.0,9,9
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,5,1,residual_mlp,0.0,9,9
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,6,0,ground_truth,0.0,3,3
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,6,0,quantum_encoded,0.004340078248415119,3,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,6,0,residual_mlp,0.004340078248415119,3,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,6,1,ground_truth,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,6,1,quantum_encoded,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,6,1,residual_mlp,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,7,0,ground_truth,0.0,6,6
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,7,0,quantum_encoded,0.0,6,6
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,7,0,residual_mlp,0.0,6,6
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,7,1,ground_truth,0.0,9,9
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,7,1,quantum_encoded,0.0,9,9
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,7,1,residual_mlp,0.0,9,9
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,8,0,ground_truth,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,8,0,quantum_encoded,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,8,0,residual_mlp,0.012860050982099969,2,0
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,8,1,ground_truth,0.0,0,0
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,8,1,quantum_encoded,0.0,0,0
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,8,1,residual_mlp,0.0,0,0
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,9,0,ground_truth,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,9,0,quantum_encoded,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,9,0,residual_mlp,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,9,1,ground_truth,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,9,1,quantum_encoded,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,9,1,residual_mlp,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,10,0,ground_truth,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,10,0,quantum_encoded,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,10,0,residual_mlp,0.0,7,7
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,10,1,ground_truth,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,10,1,quantum_encoded,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,10,1,residual_mlp,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,11,0,ground_truth,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,11,0,quantum_encoded,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,11,0,residual_mlp,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,11,1,ground_truth,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,11,1,quantum_encoded,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,11,1,residual_mlp,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,12,0,ground_truth,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,12,0,quantum_encoded,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,12,0,residual_mlp,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,12,1,ground_truth,0.0,6,6
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,12,1,quantum_encoded,0.0,6,6
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,12,1,residual_mlp,0.0,6,6
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,13,0,ground_truth,0.0,3,3
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,13,0,quantum_encoded,0.0011384429258399775,3,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,13,0,residual_mlp,0.0,3,3
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,13,1,ground_truth,0.0,9,9
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,13,1,quantum_encoded,0.0010203771031135345,9,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,13,1,residual_mlp,0.0,9,9
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,14,0,ground_truth,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,14,0,quantum_encoded,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,14,0,residual_mlp,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,14,1,ground_truth,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,14,1,quantum_encoded,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,14,1,residual_mlp,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,15,0,ground_truth,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,15,0,quantum_encoded,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,15,0,residual_mlp,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,15,1,ground_truth,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,15,1,quantum_encoded,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,15,1,residual_mlp,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,16,0,ground_truth,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,16,0,quantum_encoded,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,16,0,residual_mlp,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,16,1,ground_truth,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,16,1,quantum_encoded,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,16,1,residual_mlp,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,17,0,ground_truth,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,17,0,quantum_encoded,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,17,0,residual_mlp,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,17,1,ground_truth,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,17,1,quantum_encoded,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,17,1,residual_mlp,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,18,0,ground_truth,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,18,0,quantum_encoded,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,18,0,residual_mlp,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,18,1,ground_truth,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,18,1,quantum_encoded,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,18,1,residual_mlp,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,19,0,ground_truth,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,19,0,quantum_encoded,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,19,0,residual_mlp,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,19,1,ground_truth,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,19,1,quantum_encoded,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,19,1,residual_mlp,0.0,4,4
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,20,0,ground_truth,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,20,0,quantum_encoded,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,20,0,residual_mlp,0.0,1,1
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,20,1,ground_truth,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,20,1,quantum_encoded,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,20,1,residual_mlp,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,21,0,ground_truth,0.0,0,0
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,21,0,quantum_encoded,0.0,0,0
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,21,0,residual_mlp,0.0,0,0
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,21,1,ground_truth,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,21,1,quantum_encoded,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,21,1,residual_mlp,0.0,5,5
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,22,0,ground_truth,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,22,0,quantum_encoded,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,22,0,residual_mlp,0.0,2,2
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,22,1,ground_truth,0.0,3,3
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,22,1,quantum_encoded,0.0,3,3
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,22,1,residual_mlp,0.017313121676477722,3,6
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,23,0,ground_truth,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,23,0,quantum_encoded,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,23,0,residual_mlp,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,23,1,ground_truth,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,23,1,quantum_encoded,0.0,8,8
shallow_low_conflict,softmax(beta=1.00),softmax,softmax_b1p00,2,4,1,4.0,low,0.85,False,0.3128885201584534,softmax_beta_1p0,23,1,residual_mlp,0.0016939116951447675,8,4
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,0,0,ground_truth,0.0,7,7
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,0,0,quantum_encoded,0.0,7,7
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,0,0,residual_mlp,0.0,7,7
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,0,1,ground_truth,0.0,8,8
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,0,1,quantum_encoded,0.0,8,8
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,0,1,residual_mlp,0.0,8,8
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,1,0,ground_truth,0.0,5,5
shallow_low_conflict,entmax(alpha=1.20),entmax,entmax_a1p20,2,4,1,4.0,low,0.85,False,0.3128885201584534,entmax_alpha_1p2,1,0,quantum_encoded,0.0,5,5
